21,sitename,PISCO_CODE,PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
22,ANDREW_MOLERA_OLD_DC,SAMO03,2.298228011,0.310786577,-30 to -60m,520,520o,76.79703572,31.07865772,o,3,2016,520o,0,0.09396,2.587302,0.190507,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,2.694649167,0.441929625,-30 to -60m,519,519o,109.2031886,44.19296251,o,3,2016,519o,0,0.084416,2.650794,0.191127,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,4.504552492,0.762393689,0 to -30m,519,519n,188.3915834,76.23936892,n,2,2016,519n,3.31563,0.084416,2.650794,0.191127,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,4.147413594,0.487923717,0 to -30m,518,518n,120.5685763,48.79237174,n,2,2016,518n,3.369868,0.107595,2.777778,0.191563,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,3.326427703,0.48515927,0 to -30m,521,521n,119.8854664,48.51592697,n,2,2016,521n,3.671262,0.099338,2.634921,0.189684,6
23,ANDREW_MOLERA_OLD_DC,SAMO03,3.527899907,0.587154177,0 to -30m,520,520n,145.0889569,58.71541771,n,2,2016,520n,3.386022,0.09396,2.587302,0.190507,6
23,ANDREW_MOLERA_UC,SAMO01,3.147155613,0.369734825,0 to -30m,498,498n,91.36346496,36.9734825,n,2,2016,498n,4.036129,0.190476,3.174603,0.144721,5
23,ANDREW_MOLERA_UC,SAMO01,3.316062143,0.488822217,0 to -30m,497,497n,120.7906003,48.88222168,n,2,2016,497n,3.803114,0.170886,2.936508,0.141456,5
23,ANDREW_MOLERA_UC,SAMO01,3.556426226,0.590151314,0 to -30m,495,495n,145.8295656,59.0151314,n,2,2016,495n,3.61362,0.1875,2.714286,0.135286,5
23,ANDREW_MOLERA_UC,SAMO01,2.178110422,0.240766194,0 to -30m,499,499n,59.49462212,24.07661936,n,2,2016,499n,4.301208,0.175824,3.396825,0.148044,6
23,ANDREW_MOLERA_UC,SAMO01,4.117208563,0.562316082,0 to -30m,500,500n,138.9513299,56.23160819,n,2,2016,500n,3.348421,0.175325,2.873016,0.151424,6
23,ANDREW_MOLERA_UC,SAMO01,3.551028764,0.581450659,0 to -30m,496,496n,143.6795868,58.14506587,n,2,2016,496n,3.680894,0.178808,2.825397,0.138291,5
23,ANDREW_MOLERA_UC,SAMO01,5.864484717,1.140227317,-30 to -60m,496,496o,281.7563061,114.0227317,o,3,2016,496o,0,0.178808,2.825397,0.138291,5
23,ANDREW_MOLERA_UC,SAMO01,5.393063179,0.997925314,-30 to -60m,497,497o,246.5927155,99.79253143,o,3,2016,497o,0,0.170886,2.936508,0.141456,5
23,ANDREW_MOLERA_UC,SAMO01,5.252070369,1.056054932,-30 to -60m,498,498o,260.9568567,105.6054932,o,3,2016,498o,0,0.190476,3.174603,0.144721,5
23,ANDREW_MOLERA_UC,SAMO01,5.011606266,0.844547854,-30 to -60m,499,499o,208.6923196,84.45478538,o,3,2016,499o,0,0.175824,3.396825,0.148044,6
23,ANDREW_MOLERA_UC,SAMO01,5.346815287,0.862562906,0 to -30m,507,507n,213.1439359,86.25629058,n,2,2016,507n,4.044109,0.102128,4.111111,0.176533,6
23,ANDREW_MOLERA_UC,SAMO01,5.665512558,1.166705004,0 to -30m,505,505n,288.2990851,116.6705004,n,2,2016,505n,4.09553,0.101266,4.142857,0.169461,6
23,ANDREW_MOLERA_UC,SAMO01,5.057609228,1.062507174,0 to -30m,503,503n,262.5512405,106.2507174,n,2,2016,503n,4.167354,0.101266,4.142857,0.162114,6
23,ANDREW_MOLERA_UC,SAMO01,4.338558475,0.64654821,0 to -30m,501,501n,159.7655421,64.65482101,n,2,2016,501n,3.152145,0.16,2.761905,0.154949,6
23,ANDREW_MOLERA_UC,SAMO01,4.649457749,0.84235026,0 to -30m,508,508n,208.1492824,84.23502605,n,2,2016,508n,4.044109,0.102128,4.111111,0.179542,6
23,ANDREW_MOLERA_UC,SAMO01,5.677910748,1.04737503,0 to -30m,506,506n,258.8120063,104.737503,n,2,2016,506n,4.07001,0.101695,4.126984,0.173143,6
23,ANDREW_MOLERA_UC,SAMO01,5.081678588,0.923500534,0 to -30m,504,504n,228.2019518,92.35005343,n,2,2016,504n,4.109283,0.101266,4.142857,0.165805,6
23,ANDREW_MOLERA_UC,SAMO01,4.58064493,0.724635058,0 to -30m,502,502n,179.0612224,72.46350581,n,2,2016,502n,3.445125,0.136364,3.174603,0.15853,6
23,ANDREW_MOLERA_UC,SAMO01,5.428201007,1.298580936,-30 to -60m,505,505o,320.8863375,129.8580936,o,3,2016,505o,0,0.101266,4.142857,0.169461,6
23,ANDREW_MOLERA_UC,SAMO01,5.585309884,1.211061394,-30 to -60m,504,504o,299.2597878,121.1061394,o,3,2016,504o,0,0.101266,4.142857,0.165805,6
