Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
2012.0,916n,3.188125,0.089716,7.904762,0.16204,11.0
2012.0,914n,3.031912,0.097222,7.52381,0.149956,11.0
2012.0,911n,2.880592,0.110024,7.206349,0.131148,11.0
2012.0,909n,3.127441,0.118765,7.47619,0.118943,11.0
2012.0,907n,2.832779,0.128686,6.68254,0.107055,11.0
2012.0,905n,2.602783,0.136778,5.936508,0.095263,11.0
2012.0,903n,2.303687,0.141844,5.111111,0.083482,11.0
2012.0,913n,2.948738,0.098086,7.285714,0.14369,11.0
2012.0,910n,3.081526,0.11215,7.555556,0.124985,11.0
2012.0,908n,2.903655,0.124352,6.888889,0.112979,11.0
2012.0,906n,2.681138,0.13783,6.15873,0.101171,11.0
2012.0,904n,2.407191,0.138047,5.365079,0.089372,11.0
2012.0,884o,0.054411,0.076923,0.666667,-0.019196,11.0
2012.0,888o,0.083976,0.092308,1.126984,-0.001341,11.0
2012.0,886o,0.083976,0.068966,0.984127,-0.010446,11.0
2012.0,882o,0.031116,0.081081,0.634921,-0.028194,11.0
2012.0,880o,0.022208,0.102564,0.68254,-0.037517,11.0
2012.0,867o,0.0,0.25,2.539683,-0.096349,11.0
2012.0,878o,0.010633,0.1875,1.206349,-0.046862,11.0
2012.0,876o,0.010633,0.181818,1.238095,-0.056076,11.0
2012.0,874o,0.010633,0.210938,2.460317,-0.06514,11.0
2012.0,872o,0.010633,0.230159,2.460317,-0.07416,11.0
2012.0,870o,0.0,0.225564,2.587302,-0.083125,11.0
2012.0,868o,0.0,0.238462,2.555556,-0.092025,11.0
2012.0,865o,0.0,0.246154,2.571429,-0.10423,11.0
2012.0,863o,0.0,0.25,3.015873,-0.110826,11.0
2012.0,861o,0.0,0.248366,3.031746,-0.115604,11.0
2012.0,859o,0.0,0.221557,3.238095,-0.118119,11.0
2012.0,857o,0.0,0.207143,2.68254,-0.119301,11.0
2012.0,855o,0.0,0.208633,2.666667,-0.119688,11.0
2012.0,853o,0.048526,0.17284,1.507937,-0.119288,11.0
2012.0,851o,0.086524,0.136364,1.587302,-0.117764,11.0
2012.0,849o,0.160502,0.073826,2.539683,-0.115065,11.0
2012.0,847o,0.196246,0.04878,2.730159,-0.111193,11.0
2012.0,845o,0.292097,0.048649,3.079365,-0.10626,11.0
2012.0,843o,0.321143,0.017544,2.761905,-0.100596,10.0
2012.0,841o,0.336223,0.022099,2.936508,-0.0937,10.0
2012.0,839o,0.3516,0.021505,3.015873,-0.08568,10.0
2012.0,889o,0.083976,0.1,1.396825,0.003359,11.0
2012.0,887o,0.083976,0.080645,1.063492,-0.005955,11.0
2012.0,883o,0.054411,0.076923,0.666667,-0.023633,11.0
2012.0,885o,0.083976,0.058824,0.857143,-0.014855,11.0
2012.0,881o,0.022208,0.108108,0.650794,-0.032867,11.0
2012.0,879o,0.016027,0.105263,0.666667,-0.042195,11.0
2012.0,877o,0.010633,0.1875,1.206349,-0.051499,11.0
2012.0,875o,0.010633,0.179104,1.253968,-0.060602,11.0
2012.0,873o,0.010633,0.223077,2.52381,-0.069648,11.0
2012.0,871o,0.010633,0.232558,2.52381,-0.078666,11.0
2012.0,869o,0.0,0.227273,2.571429,-0.087593,11.0
2012.0,866o,0.0,0.262295,2.444444,-0.100429,11.0
2012.0,864o,0.0,0.25,3.015873,-0.107695,11.0
2012.0,862o,0.0,0.248366,3.031746,-0.113491,11.0
2012.0,860o,0.0,0.24183,3.015873,-0.117066,11.0
2012.0,858o,0.0,0.220238,3.253968,-0.118816,11.0
2012.0,856o,0.0,0.207143,2.68254,-0.119594,11.0
2012.0,854o,0.024258,0.208633,2.666667,-0.119628,11.0
2012.0,852o,0.060909,0.148148,1.47619,-0.118674,11.0
2012.0,850n,2.934892,0.086614,2.190476,-0.116557,11.0
2012.0,848n,2.909302,0.063694,2.650794,-0.113264,11.0
2012.0,846n,2.880975,0.052023,2.888889,-0.108824,11.0
2012.0,844n,2.858047,0.049724,3.015873,-0.103518,10.0
2012.0,842n,2.500727,0.022346,2.904762,-0.097322,10.0
2012.0,840n,2.565305,0.021622,3.0,-0.08978,10.0
2012.0,838n,2.391036,0.022472,2.888889,-0.081392,10.0
2012.0,836n,2.439673,0.043062,3.460317,-0.072385,10.0
2012.0,837n,2.383921,0.022346,2.904762,-0.076934,10.0
2012.0,835n,2.471826,0.04186,3.555556,-0.067814,10.0
2012.0,833n,2.527896,0.046083,3.603175,-0.058804,10.0
2012.0,831o,0.422732,0.04717,3.52381,-0.050049,10.0
2012.0,829o,0.434749,0.060109,3.079365,-0.041812,10.0
2012.0,827o,0.395645,0.072727,2.809524,-0.034019,10.0
