"shapeid","x","y","PERIMETER","AREA","DEPTH","ATOS_ID","HAB_ID","ACRES","HECTARES","ZONE_CODE","ZONE","Year","POLY_ID","dens_sm","pupratio","lin_dens","trend5yr","Sect_ID"
"115","-120.592615039","34.5459760211","6.2023182833","1.30394610642","0 to -30m","1075","1075n","322.21210004","130.394610642","n","2","2009.0","1075n","1.801712","0.129623","1.936583","0.198268","13.0"
"116","-120.467630797","34.444048244","3.24195802371","0.56929480962","0 to -30m","1113","1113n","140.675811098","56.9294809618","n","2","2009.0","1113n","0.90102","0.023808","0.682566","-0.067757","14.0"
"117","-120.414685124","34.4444741016","4.74496303975","0.7519943868","0 to -30m","1124","1124n","185.821859812","75.1994386801","n","2","2009.0","1124n","1.443995","0.0","1.269891","-0.067607","14.0"
"118","-120.477075229","34.4486383774","3.53654658782","0.63521038953","0 to -30m","1111","1111n","156.963905618","63.5210389534","n","2","2009.0","1111n","0.544047","0.111106","0.476209","-0.062271","13.0"
"119","-120.35586004","34.4483204031","5.26917946434","0.97636301248","0 to -30m","1136","1136n","241.264554649","97.6363012477","n","2","2009.0","1136n","0.623717","0.0","0.74606","0.050019","14.0"
"120","-120.346972736","34.4506209","4.48196682272","0.8099362141","0 to -30m","1138","1138n","200.13959715","80.9936214104","n","2","2009.0","1138n","0.594253","0.0","0.714313","0.077397","14.0"
"121","-120.336849639","34.4532500745","4.08359758089","0.68647593743","0 to -30m","1140","1140n","169.631898386","68.6475937428","n","2","2009.0","1140n","0.819617","0.0","1.000039","0.103265","14.0"
"122","-120.482683866","34.456714384","4.53311270078","0.85451169427","0 to -30m","1109","1109n","211.154438181","85.451169427","n","2","2009.0","1109n","0.419707","0.14285","0.380967","-0.055896","13.0"
"123","-120.308733832","34.4561585354","5.6580625865","1.02775171855","0 to -30m","1146","1146n","253.962980466","102.775171855","n","2","2009.0","1146n","0.627578","0.0","0.730187","0.173575","14.0"
"124","-120.259627856","34.4582337446","5.20956031926","1.1564649318","0 to -30m","1156","1156n","285.768708126","115.64649318","n","2","2009.0","1156n","0.425053","0.0","0.539703","0.263503","14.0"
"125","-120.248312816","34.4594535769","4.48583927701","0.71399713336","0 to -30m","1158","1158n","176.432534004","71.3997133356","n","2","2009.0","1158n","0.42141","0.0","0.523829","0.278954","14.0"
"126","-120.270583857","34.4575269625","5.73853228077","1.10992707893","0 to -30m","1154","1154n","274.26895424","110.992707893","n","2","2009.0","1154n","0.460354","0.0","0.603198","0.247396","14.0"
"127","-120.238041222","34.460857924","4.34541059806","0.75586978759","0 to -30m","1160","1160n","186.779492203","75.5869787594","n","2","2009.0","1160n","0.063803","0.0","0.04762","0.293848","14.0"
"128","-120.285481757","34.4562688376","6.75809571894","1.24429701744","0 to -30m","1151","1151n","307.472489152","124.429701744","n","2","2009.0","1151n","0.606703","0.0","0.698439","0.221942","14.0"
"129","-120.185431723","34.4655075473","2.9840684835","0.46232163805","0 to -30m","1171","1171n","114.242164732","46.2321638053","n","2","2009.0","1171n","0.186698","0.0","0.095241","0.330072","14.0"
"130","-120.298387818","34.4553632444","7.09996477727","1.14169620764","0 to -30m","1148","1148n","282.119276908","114.169620764","n","2","2009.0","1148n","0.627578","0.0","0.730187","0.195497","14.0"
"131","-120.229195415","34.4628956696","4.28919073278","0.7813158155","0 to -30m","1162","1162n","193.067342637","78.1315815505","n","2","2009.0","1162n","0.127708","0.0","0.079368","0.307934","14.0"
"132","-120.204427997","34.4646886085","3.47694734879","0.58666407922","0 to -30m","1167","1167n","144.967851089","58.666407922","n","2","2009.0","1167n","0.127708","0.0","0.079368","0.332345","14.0"
"133","-120.194466541","34.4650133713","3.39597906543","0.57499846413","0 to -30m","1169","1169n","142.085214821","57.4998464125","n","2","2009.0","1169n","0.127708","0.0","0.079368","0.334631","14.0"
"134","-120.17493918","34.4662123579","3.07529529176","0.5429809256","0 to -30m","1173","1173n","134.17350875","54.2980925599","n","2","2009.0","1173n","0.206691","0.0","0.111115","0.317963","14.0"
"135","-120.484929442","34.4647184752","5.01441757597","0.90293878413","0 to -30m","1107","1107n","223.121032695","90.2938784134","n","2","2009.0","1107n","0.405893","0.19999","0.380967","-0.049589","13.0"
"136","-120.487234222","34.4725041799","5.00274445515","0.86461971812","0 to -30m","1105","1105n","213.65218527","86.4619718121","n","2","2009.0","1105n","0.640713","0.266653","0.603198","-0.043712","13.0"
"137","-120.491601366","34.4791248193","4.71866409386","0.90293342002","0 to -30m","1103","1103n","223.119707193","90.2933420019","n","2","2009.0","1103n","0.707658","0.264692","0.682566","-0.038431","13.0"
"138","-120.497339517","34.4855876184","4.12075652546","0.71541447665","0 to -30m","1101","1101n","176.78276716","71.5414476652","n","2","2009.0","1101n","1.158533","0.249987","1.111154","-0.033607","13.0"
"139","-120.503830001","34.4922418991","4.37597743543","0.82288288228","0 to -30m","1099","1099n","203.338788528","82.2882882279","n","2","2009.0","1099n","1.871434","0.235282","1.666732","-0.028472","13.0"
"140","-120.507658222","34.5000776873","4.5581248755","0.71665366357","0 to -30m","1097","1097n","177.088976917","71.6653663571","n","2","2009.0","1097n","2.386314","0.226404","2.063573","-0.021979","13.0"
"141","-120.511266027","34.5068594286","4.92804183291","0.89945272657","0 to -30m","1095","1095n","222.25960911","89.9452726567","n","2","2009.0","1095n","2.42443","0.222211","2.09532","-0.01381","13.0"
