PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
5.620311881,1.057389597,0 to -30m,179,179n,261.2866598,105.7389597,n,2,2016,179n,1.315569,0.216606,1.604762,0.080304,2
5.605070481,0.660427365,0 to -30m,177,177n,163.1951559,66.04273646,n,2,2016,177n,1.218799,0.213049,1.446032,0.081176,2
6.821956248,1.349541782,0 to -30m,175,175n,333.4790368,134.9541782,n,2,2016,175n,1.096332,0.202605,1.319048,0.081367,2
6.920184944,1.386803877,0 to -30m,173,173n,342.686701,138.6803877,n,2,2016,173n,0.760387,0.16632,0.890476,0.081378,2
6.348511625,1.135452625,0 to -30m,171,171n,280.5764541,113.5452625,n,2,2016,171n,0.212883,0.141844,0.255556,0.081063,2
5.312945389,0.822979655,0 to -30m,169,169n,203.3627017,82.29796554,n,2,2016,169n,0.132002,0,0.144444,0.080562,2
5.302516843,0.879414464,0 to -30m,167,167n,217.3080466,87.94144641,n,2,2016,167n,0.130711,0,0.144444,0.07977,2
5.755201529,1.03928455,0 to -30m,165,165n,256.8128052,103.928455,n,2,2016,165n,0.088895,0,0.112698,0.078967,2
5.774077735,0.941095943,0 to -30m,163,163n,232.5498721,94.10959433,n,2,2016,163n,0.067803,0,0.080952,0.077866,2
5.094287586,0.821747787,-30 to -60m,366,366o,203.0583005,82.17477874,o,3,2016,366o,0.173513,0.166667,1.444444,-0.010683,3
5.312628197,0.882508181,-30 to -60m,364,364o,218.0725206,88.25081806,o,3,2016,364o,0.217266,0.105263,1,-0.026058,3
5.111186178,0.708396778,-30 to -60m,362,362o,175.0486559,70.83967775,o,3,2016,362o,0.259737,0.078431,0.873016,-0.042863,3
5.342903534,0.850111376,-30 to -60m,360,360o,210.0670959,85.01113762,o,3,2016,360o,0.368042,0.061224,0.825397,-0.052808,3
5.435513759,0.888188728,-30 to -60m,358,358o,219.4762144,88.81887279,o,3,2016,358o,0.399982,0.073171,0.698413,-0.058521,3
5.133937038,0.715388229,-30 to -60m,355,355o,176.7762813,71.53882294,o,3,2016,355o,0.38469,0.085714,0.603175,-0.062734,3
5.021997198,0.691611656,-30 to -60m,353,353o,170.900962,69.16116557,o,3,2016,353o,0.316428,0.060606,0.555556,-0.06352,3
5.150795684,0.834334382,-30 to -60m,351,351o,206.1685158,83.43343821,o,3,2016,351o,0.299633,0.066667,0.507937,-0.062796,3
5.310670107,0.81288204,-30 to -60m,349,349o,200.8675265,81.28820397,o,3,2016,349o,0.281917,0.066667,0.507937,-0.060695,3
6.31347277,1.409994493,-30 to -60m,347,347o,348.4172271,140.9994493,o,3,2016,347o,0.281141,0.068966,0.492063,-0.057125,3
6.106473439,1.174400361,-30 to -60m,345,345o,290.2006491,117.4400361,o,3,2016,345o,0.287625,0.035714,0.460317,-0.052025,3
5.830934212,1.055564587,-30 to -60m,343,343o,260.8356899,105.5564587,o,3,2016,343o,0.243872,0.041667,0.396825,-0.045928,3
5.767065845,1.363409655,-30 to -60m,341,341o,336.9058629,136.3409655,o,3,2016,341o,0.201401,0.043478,0.380952,-0.039196,3
5.189919559,1.035210142,-30 to -60m,339,339o,255.805997,103.5210142,o,3,2016,339o,0.093096,0,0.285714,-0.032244,3
4.792804058,0.886339549,-30 to -60m,337,337o,219.0192723,88.63395487,o,3,2016,337o,0.061156,0,0.253968,-0.024956,3
4.4246644,0.637773925,-30 to -60m,335,335o,157.597369,63.77739249,o,3,2016,335o,0.126818,0,0.174603,-0.017406,3
4.496124976,0.69084299,-30 to -60m,333,333o,170.7110207,69.08429904,o,3,2016,333o,0.126818,0,0.174603,-0.009755,3
4.553104887,0.758976816,-30 to -60m,331,331o,187.5472556,75.89768158,o,3,2016,331o,0.237851,0.145408,7.126984,-0.002237,3
5.56101897,1.00300162,-30 to -60m,329,329o,247.847098,100.300162,o,3,2016,329o,0.314128,0.143939,7.190476,0.005232,3
2.455625898,0.241446729,-30 to -60m,327,327o,59.66278601,24.14467288,o,3,2016,327o,0.297948,0.143577,7.206349,0.012804,3
4.565996516,0.772503966,0 to -30m,325,325n,190.8898871,77.25039655,n,2,2016,325n,2.069097,0.142145,7.269841,0.02022,3
4.315983383,0.76038516,0 to -30m,348,348n,187.8952651,76.03851602,n,2,2016,348n,0.290891,0.064516,0.52381,-0.059102,3
4.93823857,1.049077324,0 to -30m,346,346n,259.2326523,104.9077324,n,2,2016,346n,0.22534,0.037037,0.444444,-0.054784,3
5.721169032,1.070660236,0 to -30m,344,344n,264.5659061,107.0660236,n,2,2016,344n,0.22534,0.035714,0.460317,-0.049042,3
6.102955997,1.171805413,0 to -30m,342,342n,289.5594235,117.1805413,n,2,2016,342n,0.18849,0.04,0.412698,-0.042642,3
6.581288699,1.282604722,0 to -30m,340,340n,316.9385291,128.2604722,n,2,2016,340n,0.165488,0,0.285714,-0.035698,3
6.846327027,1.314365148,0 to -30m,338,338n,324.7867013,131.4365148,n,2,2016,338n,0.165488,0,0.269841,-0.02863,3
6.905996863,1.335944696,0 to -30m,336,336n,330.1191236,133.5944696,n,2,2016,336n,0.110524,0,0.174603,-0.02121,3
7.062422822,1.347620022,0 to -30m,334,334n,333.0041595,134.7620022,n,2,2016,334n,0.096169,0,0.174603,-0.01355,3
7.043492274,1.335878725,0 to -30m,332,332n,330.1028219,133.5878725,n,2,2016,332n,0.213256,0,0.190476,-0.005991,3
4.741014437,0.782354653,-30 to -60m,330,330o,193.3240451,78.23546533,o,3,2016,330o,0.314128,0.144304,7.174603,0.001489,3
5.77634822,1.107233228,0 to -30m,328,328n,273.6032891,110.7233228,n,2,2016,328n,1.968935,0.143939,7.190476,0.009014,3
4.872833997,0.833909756,0 to -30m,326,326n,206.0635884,83.39097562,n,2,2016,326n,2.057869,0.1425,7.253968,0.016514,3
2.19632776,0.180518567,-30 to -60m,324,324o,44.60710943,18.05185673,o,3,2016,324o,0.274334,0.141439,7.301587,0.023776,3
